Customer_ID,Name,Age,Gender,Marital_Status,City,State,Occupation,Annual_Income,Expenses,Credit_Score,Website_Visits,Search_History,Chatbot_Interactions,Active_Policies,Matured_Policies,Payment_History,Premium_Type,Email_Response_Rate,App_Interactions,Feedback_Score,Propensity_Score,Policy_Type,Total_Premium_Paid,Policy_Maturity_Amount,Years_Completed,Policy_Term,Market_Return_Comparison,Estimated_Alternative_Growth
10,Sneha Saxena,62,Male,Single,Indore,Madhya Pradesh,Mechanic,302567,962613,612,29,Investment Plans,1,3,3,Late,Yearly,0.9556609729612454,20,2,0.37,Money Back,47632,102067.51474516193,10,26,1.15,192698.006067239
11,Dinesh Yadav,46,Male,Married,Jaipur,Rajasthan,Software Engineer,931274,1028025,539,29,Life Insurance,8,2,3,Late,Monthly,0.8854268310936662,33,6,0.51,ULIP,216382,396556.718548368,14,19,1.06,489218.9197540542
12,Rajesh Verma,49,Male,Married,Chennai,Tamil Nadu,Journalist,281685,719597,764,25,Investment Plans,12,2,3,On-time,Monthly,0.0431655141615666,91,1,0.46,Whole Life,129945,303480.0774742778,18,16,1.12,999272.6052340668
13,Rajesh Kumar,34,Female,Married,Ahmedabad,Gujarat,Journalist,577424,119833,706,35,Investment Plans,12,1,2,On-time,Lump Sum,0.719020204145055,35,10,0.66,Endowment,337320,799756.1785987611,19,25,1.12,2905256.7734138453
14,Rahul Saxena,53,Male,Single,Bangalore,Karnataka,Plumber,1304440,1359493,466,10,Health Insurance,15,5,1,On-time,Monthly,0.4469989070181187,38,6,0.52,Money Back,270869,473543.26346367184,9,10,1.06,457627.47614610044
15,Sneha Reddy,43,Female,Single,Lucknow,Uttar Pradesh,Mechanic,1973514,512562,865,46,Car Insurance,9,5,0,Late,Lump Sum,0.0582655328423783,17,5,0.82,Endowment,237138,369905.9072349433,7,26,1.12,524236.5675894633
16,Kavita Yadav,40,Female,Single,Pune,Maharashtra,Lawyer,1728517,329035,819,34,Investment Plans,10,4,1,Late,Monthly,0.9262001533444584,100,1,0.74,Money Back,195399,384946.86041385867,3,18,1.06,232723.335384
17,Arun Sharma,23,Male,Married,Mumbai,Maharashtra,Farmer,1031569,418696,600,10,Investment Plans,3,0,3,On-time,Lump Sum,0.657907173857396,7,7,0.55,Whole Life,482120,1150373.2010453348,6,15,1.12,951619.3929809107
18,Meena Patel,58,Male,Single,Chennai,Tamil Nadu,Electrician,1373141,936965,529,16,Retirement Plans,5,4,1,Late,Monthly,0.6617144649794948,67,3,0.52,Term,154869,228255.35531385415,2,28,1.06,174010.80840000004
19,Manish Malhotra,27,Female,Single,Pune,Maharashtra,Civil Engineer,420047,364059,404,17,Retirement Plans,7,4,2,On-time,Monthly,0.5243710872014229,3,1,0.4,Money Back,198954,399869.00176617585,6,22,1.12,392699.91850809776
20,Manish Gupta,48,Female,Married,Lucknow,Uttar Pradesh,Businessman,650494,1293687,564,23,Retirement Plans,1,1,1,On-time,Monthly,0.0474631181258431,79,1,0.35,Endowment,164790,333045.25126976037,3,12,1.15,250624.99124999996
21,Rohit Sharma,42,Female,Married,Ahmedabad,Gujarat,Nurse,1625642,1032405,412,8,Health Insurance,11,1,2,On-time,Lump Sum,0.3652303805379863,65,7,0.57,Whole Life,54560,117470.24045387105,16,16,1.15,510551.7948601606
22,Pooja Malhotra,59,Male,Single,Bangalore,Karnataka,Mechanic,656762,665906,676,25,Retirement Plans,10,4,0,On-time,Monthly,0.3701681636069943,83,2,0.5,Money Back,358733,491836.57150538446,8,18,1.15,1097372.448547225
23,Rahul Agarwal,60,Male,Single,Delhi,Delhi,Nurse,1841393,171716,723,46,Retirement Plans,4,0,2,On-time,Monthly,0.8489814439327855,75,8,0.81,Term,304260,648247.974880424,2,14,1.12,381663.74400000006
24,Manish Malhotra,23,Female,Married,Ahmedabad,Gujarat,Electrician,1708756,1038086,728,30,Car Insurance,10,3,0,Late,Lump Sum,0.5728350793360119,78,1,0.63,Term,449460,1070497.8837598928,17,19,1.12,3086010.737705675
25,Priya Agarwal,42,Male,Single,Chennai,Tamil Nadu,Teacher,364635,784558,823,45,Health Insurance,14,2,1,On-time,Lump Sum,0.3938584442951194,69,10,0.62,ULIP,152717,218933.26493853776,9,26,1.15,537239.5136731343
26,Pooja Nair,37,Male,Single,Delhi,Delhi,Farmer,1096295,201972,561,21,Life Insurance,5,1,2,On-time,Monthly,0.920444542518059,34,2,0.56,ULIP,198595,299641.3915972347,12,21,1.15,1062532.9196965506
27,Anjali Reddy,52,Male,Single,Pune,Maharashtra,Government Employee,624490,110964,528,48,Car Insurance,6,4,3,On-time,Monthly,0.3169815197519964,40,9,0.62,Endowment,144085,354854.50076248654,3,25,1.06,171607.54036
28,Sunita Reddy,27,Male,Married,Mumbai,Maharashtra,Journalist,905213,1122168,766,36,Investment Plans,7,1,2,On-time,Monthly,0.974756999215241,94,4,0.54,Money Back,399862,573909.9481436186,11,12,1.06,759057.4581331201
29,Neha Verma,64,Male,Single,Indore,Madhya Pradesh,Software Engineer,1187251,735652,590,43,Investment Plans,13,3,0,Late,Yearly,0.9077482020400568,91,7,0.66,Money Back,301400,696445.1672840684,1,18,1.06,319484.0
30,Divya Iyer,29,Female,Married,Bangalore,Karnataka,Lawyer,1914246,1183740,893,44,Investment Plans,13,0,0,Late,Lump Sum,0.3047317702366323,75,10,0.82,ULIP,120158,221086.05947760787,13,24,1.15,739306.654999536
31,Sunita Gupta,36,Male,Married,Bangalore,Karnataka,Bank Manager,1113084,1130307,831,34,Investment Plans,9,0,3,Late,Lump Sum,0.0564283435747667,60,6,0.61,Money Back,204245,310738.42402891995,15,14,1.15,1661954.1524482584
32,Suman Joshi,43,Male,Married,Patna,Bihar,Mechanic,1749711,1105061,492,18,Health Insurance,15,4,2,On-time,Yearly,0.6618784594197045,12,4,0.61,Money Back,188502,439581.92725657223,5,22,1.15,379144.85255812487
33,Kavita Bose,22,Male,Single,Lucknow,Uttar Pradesh,Teacher,835456,588493,389,50,Retirement Plans,16,2,3,Late,Yearly,0.8022027193348759,16,1,0.54,Term,452498,804947.258461655,17,23,1.06,1218474.3000139117
34,Manish Iyer,42,Male,Married,Delhi,Delhi,Nurse,1451644,210289,890,30,Retirement Plans,6,5,2,On-time,Yearly,0.7748705309901665,98,4,0.72,ULIP,401863,751187.4601929212,6,29,1.12,793206.3057360983
35,Rajesh Patel,22,Female,Married,Bangalore,Karnataka,Journalist,712714,711172,404,17,Health Insurance,4,4,3,Late,Yearly,0.9062583359314782,52,4,0.42,Whole Life,476590,794477.1409789046,11,24,1.15,2217283.215450186
36,Divya Saxena,62,Female,Married,Bangalore,Karnataka,Government Employee,1905607,1003900,496,20,Car Insurance,7,5,1,Late,Monthly,0.5451164160107217,20,1,0.58,ULIP,350388,690557.3218123558,18,25,1.12,2694471.734985988
37,Arun Yadav,26,Male,Married,Patna,Bihar,Plumber,934489,928184,814,13,Investment Plans,6,0,1,On-time,Lump Sum,0.2621718427048534,78,10,0.58,Whole Life,162766,229920.16463872595,4,22,1.12,256115.4521497601
38,Rahul Malhotra,42,Female,Single,Chennai,Tamil Nadu,Journalist,1239761,156501,632,27,Car Insurance,3,1,2,Late,Lump Sum,0.4901516342296907,57,5,0.63,Term,338408,578138.2568518237,3,26,1.12,475438.87462400016
39,Anjali Gupta,49,Male,Married,Chennai,Tamil Nadu,Bank Manager,1117910,1429895,563,22,Health Insurance,7,2,0,Late,Yearly,0.7530628550348374,51,10,0.53,Endowment,488276,1201274.2024307603,13,17,1.06,1041457.6791508944
40,Manish Chopra,35,Female,Single,Jaipur,Rajasthan,Teacher,1978292,207241,845,1,Investment Plans,11,3,3,On-time,Yearly,0.2491752502025778,92,10,0.82,Money Back,77545,119076.04415045162,9,11,1.12,215038.39224647492
41,Sneha Joshi,28,Male,Single,Pune,Maharashtra,Shop Owner,391984,1343342,607,48,Life Insurance,20,0,0,On-time,Lump Sum,0.3023536372512871,43,4,0.5,Term,321368,660011.9929333978,6,14,1.15,743343.7121273746
42,Kavita Bose,60,Female,Married,Hyderabad,Telangana,Bank Manager,1479854,614397,685,28,Car Insurance,17,3,1,On-time,Yearly,0.2904450356288339,97,9,0.74,Money Back,380089,616788.31621743,12,15,1.06,764813.7447835029
43,Amit Sharma,40,Male,Married,Lucknow,Uttar Pradesh,Bank Manager,279482,1473145,573,20,Retirement Plans,5,0,0,On-time,Lump Sum,0.1616209113911966,15,3,0.32,Endowment,33224,73276.03246615511,2,21,1.15,43938.73999999999
44,Rohit Sharma,62,Male,Married,Lucknow,Uttar Pradesh,Farmer,496835,1218554,842,16,Car Insurance,12,2,0,On-time,Lump Sum,0.2782283675402626,3,9,0.52,Endowment,60738,83219.30572612447,3,27,1.15,92374.90574999999
45,Sneha Nair,50,Male,Married,Hyderabad,Telangana,Nurse,1453179,172274,333,44,Health Insurance,10,1,0,Late,Yearly,0.7100887690199718,36,7,0.68,Term,438366,1078716.7439209716,3,10,1.06,522100.91985600005
46,Sunita Patel,64,Male,Married,Mumbai,Maharashtra,Teacher,1849510,366616,353,32,Car Insurance,5,3,2,Late,Monthly,0.0829942074578862,31,4,0.65,Endowment,345875,619090.7949138861,12,26,1.15,1850517.755230718
47,Anjali Pandey,45,Male,Single,Mumbai,Maharashtra,Shop Owner,464524,1011661,835,36,Health Insurance,14,0,1,Late,Monthly,0.7454817560509852,17,1,0.51,Whole Life,200760,302518.338327867,15,20,1.15,1633596.4926706275
48,Divya Verma,53,Female,Married,Patna,Bihar,Software Engineer,1518675,1388396,667,8,Investment Plans,13,2,3,Late,Lump Sum,0.5219798479288239,68,3,0.55,Endowment,259690,336440.28140837024,9,19,1.06,438740.7908634093
49,Suman Sharma,49,Male,Single,Ahmedabad,Gujarat,Shop Owner,1655835,481498,409,14,Car Insurance,9,3,2,Late,Monthly,0.2219605674908888,99,10,0.66,Money Back,486725,691483.0412598533,8,28,1.15,1488902.9027693244
50,Kavita Malhotra,65,Female,Married,Indore,Madhya Pradesh,Journalist,1177124,862789,443,28,Health Insurance,11,4,2,On-time,Yearly,0.4538737931649275,49,8,0.58,Money Back,159649,299454.6084469256,11,23,1.12,555347.0278876185
51,Suman Mehta,47,Female,Married,Patna,Bihar,Businessman,673046,745181,475,35,Investment Plans,12,3,0,Late,Monthly,0.6994043929562642,62,2,0.48,Money Back,28070,45981.582911154066,16,19,1.15,262668.41792017425
52,Rajesh Pandey,44,Male,Single,Hyderabad,Telangana,Teacher,377091,484145,624,31,Retirement Plans,19,2,3,On-time,Monthly,0.524268814936545,35,7,0.57,Money Back,146161,332888.7481329985,4,24,1.12,229987.16317696008
53,Sneha Iyer,31,Female,Married,Kolkata,West Bengal,Government Employee,1550225,103539,807,32,Health Insurance,19,2,0,On-time,Monthly,0.9140261784130664,9,8,0.84,Whole Life,28666,50456.56827927613,1,28,1.15,32965.899999999994
54,Suresh Saxena,54,Female,Single,Jaipur,Rajasthan,Software Engineer,1583085,818337,890,45,Health Insurance,2,3,3,On-time,Yearly,0.6700493956546579,36,7,0.72,ULIP,339905,517786.9922710678,7,13,1.06,511091.4431824584
55,Sneha Sharma,37,Female,Married,Patna,Bihar,Government Employee,1372397,1323310,409,8,Car Insurance,2,5,3,On-time,Yearly,0.7761621101307647,69,7,0.46,Term,318512,637752.9091651896,2,11,1.06,357880.08320000005
56,Dinesh Agarwal,53,Female,Single,Hyderabad,Telangana,Plumber,265613,727714,485,22,Investment Plans,18,2,3,On-time,Lump Sum,0.5881401155171481,25,5,0.46,Money Back,157855,334464.81284288765,5,18,1.15,317502.7888328124
57,Rohit Agarwal,28,Male,Single,Chennai,Tamil Nadu,Government Employee,1384527,141413,884,29,Health Insurance,13,3,0,Late,Yearly,0.2879776105623995,76,1,0.72,Endowment,61914,87741.70249151324,7,19,1.06,93095.7638551911
58,Rohit Singh,29,Male,Married,Pune,Maharashtra,Software Engineer,462618,367449,312,3,Car Insurance,12,2,2,Late,Lump Sum,0.1047145589032688,94,6,0.43,Money Back,221579,314177.96782373387,4,20,1.15,387543.05586874986
59,Suresh Iyer,35,Female,Single,Mumbai,Maharashtra,Businessman,1043178,271698,514,17,Health Insurance,15,0,0,Late,Lump Sum,0.6452732970235993,0,6,0.61,Endowment,147738,184328.69225400008,5,23,1.06,197706.77038346883
60,Rahul Verma,34,Male,Single,Lucknow,Uttar Pradesh,Mechanic,1276964,182563,647,16,Retirement Plans,4,5,3,Late,Lump Sum,0.3225436100126603,45,4,0.61,Endowment,492242,1061924.8009099232,1,16,1.12,551311.04
61,Priya Malhotra,57,Female,Married,Jaipur,Rajasthan,Plumber,1103516,401316,838,27,Life Insurance,10,5,3,On-time,Yearly,0.819491125192875,11,10,0.72,Money Back,266965,550734.3484315218,1,24,1.15,307009.75
62,Arun Chopra,30,Male,Married,Delhi,Delhi,Mechanic,279568,424017,335,40,Health Insurance,1,1,3,Late,Lump Sum,0.0525951119358056,91,10,0.46,Whole Life,349670,635357.4318204687,15,28,1.12,1913941.739039411
63,Arun Verma,55,Male,Married,Ahmedabad,Gujarat,Bank Manager,1299021,288837,565,45,Life Insurance,15,3,2,Late,Lump Sum,0.0953255617220184,69,9,0.75,Endowment,484051,1112069.2149921856,19,24,1.12,4169015.9090114585
64,Rohit Iyer,42,Female,Married,Mumbai,Maharashtra,Plumber,1162137,1104818,732,3,Car Insurance,6,3,3,On-time,Monthly,0.38810623311319,54,8,0.54,Endowment,458981,1031500.6802125189,10,17,1.15,1856834.1350929507
65,Rohit Gupta,29,Female,Single,Ahmedabad,Gujarat,Businessman,1134156,1032526,404,18,Retirement Plans,11,5,0,On-time,Lump Sum,0.229263860614349,97,7,0.52,Money Back,302100,592406.2195295364,18,20,1.12,2323138.6666759904
66,Pankaj Das,39,Male,Married,Kolkata,West Bengal,Lawyer,214349,1355803,609,37,Life Insurance,2,1,3,On-time,Lump Sum,0.8960597392573287,57,9,0.41,Endowment,238967,556495.0380175355,3,18,1.15,363438.93612499995
67,Manish Joshi,41,Male,Married,Patna,Bihar,Shop Owner,790393,505830,521,31,Life Insurance,18,4,2,Late,Monthly,0.983788381101986,28,5,0.59,Endowment,328384,481934.2478917283,11,24,1.12,1142300.1610147743
68,Rahul Reddy,62,Female,Married,Delhi,Delhi,Mechanic,298465,1313963,894,29,Investment Plans,2,0,3,On-time,Lump Sum,0.1441857190787701,71,5,0.43,Money Back,403152,542439.2039192625,15,10,1.15,3280472.669920048
69,Rajesh Pandey,40,Male,Single,Indore,Madhya Pradesh,Lawyer,987710,444062,573,21,Car Insurance,14,0,3,On-time,Yearly,0.2549010923438395,28,1,0.55,Money Back,450364,698367.9682536088,11,10,1.15,2095269.5986970088
70,Anjali Iyer,54,Male,Married,Jaipur,Rajasthan,Bank Manager,368274,1221786,668,18,Health Insurance,18,1,2,Late,Monthly,0.4470534173961396,63,10,0.51,Term,114270,145604.3095589238,17,28,1.06,307703.14622957376
71,Pooja Sharma,57,Male,Married,Patna,Bihar,Doctor,271417,1054730,364,3,Retirement Plans,5,5,3,Late,Lump Sum,0.9150653813013728,55,2,0.27,Whole Life,286901,542392.1893789313,17,12,1.15,3087417.4041743246
72,Arun Yadav,57,Female,Single,Indore,Madhya Pradesh,Doctor,1408506,1388017,657,10,Investment Plans,12,1,3,On-time,Monthly,0.3692723458155356,55,1,0.51,Whole Life,39097,94520.41457715294,6,19,1.15,90433.73675364057
73,Rohit Chopra,39,Male,Single,Mumbai,Maharashtra,Electrician,220530,212993,397,4,Car Insurance,12,2,3,Late,Yearly,0.8444665782709931,48,3,0.4,Endowment,161467,202018.88852545893,5,17,1.12,284560.02456125454
74,Suresh Malhotra,38,Male,Single,Pune,Maharashtra,Electrician,636143,1428902,824,30,Retirement Plans,20,4,2,On-time,Monthly,0.3897949035914799,33,1,0.51,Whole Life,167313,227335.34885558748,8,24,1.15,511814.2921999979
75,Divya Joshi,40,Female,Single,Hyderabad,Telangana,Government Employee,375246,265401,625,26,Health Insurance,6,1,2,On-time,Lump Sum,0.6324207006379005,17,6,0.51,Endowment,386036,690177.8353071514,2,19,1.06,433750.0496000001
76,Dinesh Ghosh,27,Male,Married,Indore,Madhya Pradesh,Businessman,719039,468585,756,15,Health Insurance,6,3,0,On-time,Monthly,0.9751016457010254,2,10,0.59,Term,178768,431552.6598734571,16,10,1.12,1095918.2120889672
77,Pankaj Joshi,28,Female,Married,Hyderabad,Telangana,Journalist,1990623,229582,640,42,Health Insurance,10,1,2,Late,Monthly,0.7674111244899506,43,10,0.85,Money Back,266726,429696.36923283734,12,27,1.12,1039158.0925880859
78,Rajesh Patel,43,Female,Married,Jaipur,Rajasthan,Journalist,1070111,827058,775,41,Retirement Plans,2,2,2,On-time,Yearly,0.4171183167713955,16,6,0.6,Money Back,352624,655670.9173326164,6,11,1.06,500203.88344015996
79,Divya Kumar,46,Female,Married,Chennai,Tamil Nadu,Doctor,1819170,814991,439,22,Investment Plans,10,0,1,Late,Monthly,0.0912405458030692,96,10,0.68,Money Back,66163,82971.36059535643,1,28,1.12,74102.56000000001
80,Anjali Ghosh,45,Female,Single,Bangalore,Karnataka,Plumber,712661,226926,649,22,Car Insurance,10,5,2,On-time,Monthly,0.0596453590449534,44,1,0.53,Whole Life,39816,55457.562756358486,4,22,1.12,62651.24683776002
81,Rahul Ghosh,32,Male,Single,Bangalore,Karnataka,Mechanic,1442503,1130452,388,37,Investment Plans,3,2,0,Late,Yearly,0.7340187809703335,86,4,0.52,Term,463056,1149591.6976818815,17,10,1.12,3179361.429624525
82,Sunita Joshi,39,Female,Married,Indore,Madhya Pradesh,Bank Manager,1750139,1330789,637,13,Investment Plans,18,4,1,On-time,Lump Sum,0.1899368739403214,56,1,0.6,Whole Life,253619,622546.9702728376,13,11,1.12,1106664.7594842254
83,Suresh Pandey,65,Female,Single,Ahmedabad,Gujarat,Civil Engineer,1559886,131571,400,21,Car Insurance,18,5,2,On-time,Lump Sum,0.7188657968475036,16,1,0.65,Whole Life,334997,404147.7424310097,18,25,1.06,956195.0532083369
84,Rohit Patel,49,Female,Married,Indore,Madhya Pradesh,Lawyer,1468509,579806,634,49,Retirement Plans,4,4,3,On-time,Lump Sum,0.3320343525926089,8,3,0.65,Term,175989,428947.7255963055,5,24,1.06,235512.98117624645
85,Neha Chopra,59,Male,Married,Lucknow,Uttar Pradesh,Electrician,342449,763977,533,9,Car Insurance,3,5,3,On-time,Yearly,0.6341434688868329,60,10,0.43,Term,116731,237063.84229948354,3,22,1.12,163998.65036800006
86,Manish Singh,43,Female,Married,Pune,Maharashtra,Bank Manager,1864820,1236078,503,33,Life Insurance,10,1,3,Late,Lump Sum,0.844497962976971,19,5,0.63,Term,172638,401951.98208815185,11,25,1.12,600529.9137511834
87,Manish Kumar,59,Female,Married,Jaipur,Rajasthan,Businessman,1945461,1149645,816,19,Life Insurance,9,0,0,Late,Lump Sum,0.3685187190961929,24,9,0.73,Term,226524,405741.13837488554,13,26,1.06,483159.4412012411
88,Meena Joshi,26,Female,Single,Jaipur,Rajasthan,Software Engineer,1196238,1448470,477,42,Life Insurance,14,4,2,Late,Lump Sum,0.5207776172667106,7,7,0.56,Money Back,82823,154901.77283752503,4,16,1.06,104562.12925808
89,Meena Sharma,52,Male,Single,Delhi,Delhi,Shop Owner,1440093,477254,358,33,Investment Plans,8,2,3,On-time,Yearly,0.5272511378001052,53,6,0.61,ULIP,171878,315482.1642778186,14,26,1.06,388599.6501071593
90,Sneha Ghosh,26,Female,Married,Delhi,Delhi,Farmer,1498240,614526,658,46,Life Insurance,9,0,3,Late,Yearly,0.5270224707873145,70,8,0.73,ULIP,226592,468348.33759965294,11,16,1.12,788211.6000921475
91,Rajesh Das,38,Male,Married,Mumbai,Maharashtra,Government Employee,741019,553102,899,34,Car Insurance,3,0,0,On-time,Yearly,0.7121435759607867,73,3,0.57,Term,21759,30061.073147915395,10,22,1.12,67580.1511653617
92,Anjali Gupta,47,Male,Married,Patna,Bihar,Electrician,1777510,664426,555,20,Retirement Plans,0,0,1,Late,Monthly,0.4022954698150323,0,5,0.61,ULIP,277164,343396.68008251215,19,14,1.15,3944534.7565030516
93,Suresh Sharma,52,Female,Single,Patna,Bihar,Bank Manager,464000,653012,682,46,Car Insurance,17,3,1,On-time,Yearly,0.4007665538051083,50,2,0.55,ULIP,455165,728404.6114236608,18,26,1.06,1299195.280535565
94,Neha Mehta,35,Female,Married,Pune,Maharashtra,Civil Engineer,1407467,657798,884,27,Health Insurance,20,1,0,On-time,Yearly,0.5320884078673633,14,2,0.72,Term,374518,792511.9188681844,6,12,1.12,739232.1244097418
95,Suman Bose,62,Female,Married,Ahmedabad,Gujarat,Lawyer,816032,946012,584,10,Life Insurance,12,0,3,Late,Lump Sum,0.4084791104251433,22,8,0.52,ULIP,153554,224558.82648347336,15,16,1.06,368001.09678323
96,Rohit Saxena,30,Male,Single,Lucknow,Uttar Pradesh,Farmer,1087946,666854,568,41,Life Insurance,0,2,0,On-time,Yearly,0.5879503961630934,28,1,0.51,Whole Life,306586,636307.642804359,10,26,1.12,952209.5788034186
97,Rohit Sharma,46,Female,Single,Bangalore,Karnataka,Businessman,1720527,1351121,857,24,Car Insurance,11,0,1,Late,Monthly,0.0718185640066793,52,10,0.72,Endowment,446935,1099855.932425039,5,16,1.06,598099.8485246561
98,Pooja Ghosh,26,Female,Single,Chennai,Tamil Nadu,Lawyer,234688,790671,672,31,Car Insurance,0,1,1,Late,Yearly,0.2339126247664688,87,1,0.38,Endowment,471282,623068.2322802693,5,10,1.12,830559.9131418627
99,Pankaj Iyer,57,Male,Single,Hyderabad,Telangana,Mechanic,980459,1223742,411,38,Health Insurance,17,5,3,Late,Monthly,0.5887932409979898,70,8,0.56,Term,113501,235444.5169268711,10,26,1.15,459174.84856058314
100,Kavita Saxena,25,Male,Married,Bangalore,Karnataka,Electrician,1786910,1052016,395,8,Investment Plans,20,3,0,Late,Yearly,0.8189810430282215,81,1,0.58,Money Back,284223,505028.824155824,5,26,1.15,571673.9739028123
101,Meena Nair,35,Male,Married,Patna,Bihar,Teacher,340199,964851,656,17,Retirement Plans,4,2,0,Late,Yearly,0.9264721576721212,68,7,0.42,Term,415933,968535.3159769985,3,20,1.06,495382.85792800004
102,Pankaj Das,56,Male,Married,Mumbai,Maharashtra,Doctor,1367967,136512,466,38,Car Insurance,3,4,0,Late,Monthly,0.7835058546781993,68,6,0.65,Money Back,79676,113960.1626112129,6,12,1.12,157266.2962647205
103,Vikram Sharma,26,Female,Single,Kolkata,West Bengal,Lawyer,1291215,1048540,863,3,Car Insurance,11,3,2,Late,Monthly,0.0921045567185826,59,2,0.56,Endowment,441168,926635.3279192264,4,24,1.12,694186.3890124803
104,Rohit Iyer,64,Female,Married,Chennai,Tamil Nadu,Plumber,1275272,601586,427,6,Investment Plans,14,3,2,On-time,Monthly,0.7327078305747677,45,4,0.55,Term,237516,543804.7284768787,18,20,1.06,677951.218243242
105,Neha Bose,27,Female,Single,Indore,Madhya Pradesh,Doctor,1817230,1432990,827,36,Health Insurance,20,4,3,Late,Monthly,0.6751382237228538,19,2,0.71,Whole Life,193532,469895.4028602207,9,25,1.12,536679.47808685
106,Vikram Bose,64,Female,Single,Mumbai,Maharashtra,Shop Owner,1857434,1043047,790,29,Health Insurance,0,3,1,On-time,Monthly,0.4577599308197531,90,4,0.65,ULIP,110397,230533.49235281962,17,18,1.06,297274.0372302989
107,Arun Gupta,50,Female,Married,Mumbai,Maharashtra,Businessman,364975,599899,441,29,Health Insurance,15,0,2,On-time,Yearly,0.5725011808239264,32,7,0.5,Money Back,92847,171425.9409080576,13,10,1.12,405137.2449376107
108,Rajesh Sharma,40,Male,Single,Kolkata,West Bengal,Plumber,1201645,1074224,432,36,Life Insurance,8,3,2,On-time,Lump Sum,0.1191641407345366,12,7,0.55,ULIP,113607,227577.70284280108,15,25,1.06,272265.78664347663
109,Anjali Singh,52,Female,Single,Delhi,Delhi,Businessman,879987,1031371,541,13,Health Insurance,4,0,2,Late,Monthly,0.2596818158741392,71,8,0.48,ULIP,240178,559513.0197707685,17,18,1.12,1649071.9684970267
110,Arun Gupta,63,Male,Married,Delhi,Delhi,Plumber,1091374,673212,470,25,Investment Plans,17,0,3,On-time,Yearly,0.9058962507397912,83,2,0.56,Term,169521,329174.63531794935,13,28,1.06,361576.1315881566
111,Pankaj Joshi,30,Female,Married,Ahmedabad,Gujarat,Government Employee,1415254,945336,821,23,Retirement Plans,6,2,0,Late,Lump Sum,0.8675169006792303,87,2,0.6,ULIP,446752,553750.5236017855,16,21,1.12,2738765.6240891563
112,Arun Patel,35,Male,Single,Indore,Madhya Pradesh,Businessman,1557718,889890,440,40,Health Insurance,3,5,2,Late,Lump Sum,0.7959220563099118,46,7,0.61,Whole Life,84077,202645.18551378223,4,28,1.15,147051.19848124994
113,Anjali Agarwal,40,Male,Single,Pune,Maharashtra,Lawyer,1065801,1487874,303,12,Health Insurance,5,4,0,Late,Monthly,0.6573076449218892,23,8,0.41,ULIP,320402,671685.8751092184,5,18,1.12,564657.7999806466
