Customer_ID,Name,Age,Gender,Marital_Status,City,State,Occupation,Annual_Income,Expenses,Credit_Score,Website_Visits,Search_History,Chatbot_Interactions,Active_Policies,Matured_Policies,Payment_History,Premium_Type,Email_Response_Rate,App_Interactions,Feedback_Score,Propensity_Score
44,Rohit Sharma,62,Male,Married,Lucknow,Uttar Pradesh,Farmer,496835,1218554,842,16,Car Insurance,12,2,0,On-time,Lump Sum,0.2782283675402626,3,9,0.52
45,Sneha Nair,50,Male,Married,Hyderabad,Telangana,Nurse,1453179,172274,333,44,Health Insurance,10,1,0,Late,Yearly,0.7100887690199718,36,7,0.68
46,Sunita Patel,64,Male,Married,Mumbai,Maharashtra,Teacher,1849510,366616,353,32,Car Insurance,5,3,2,Late,Monthly,0.0829942074578862,31,4,0.65
47,Anjali Pandey,45,Male,Single,Mumbai,Maharashtra,Shop Owner,464524,1011661,835,36,Health Insurance,14,0,1,Late,Monthly,0.7454817560509852,17,1,0.51
48,Divya Verma,53,Female,Married,Patna,Bihar,Software Engineer,1518675,1388396,667,8,Investment Plans,13,2,3,Late,Lump Sum,0.5219798479288239,68,3,0.55
49,Suman Sharma,49,Male,Single,Ahmedabad,Gujarat,Shop Owner,1655835,481498,409,14,Car Insurance,9,3,2,Late,Monthly,0.2219605674908888,99,10,0.66
50,Kavita Malhotra,65,Female,Married,Indore,Madhya Pradesh,Journalist,1177124,862789,443,28,Health Insurance,11,4,2,On-time,Yearly,0.4538737931649275,49,8,0.58
51,Suman Mehta,47,Female,Married,Patna,Bihar,Businessman,673046,745181,475,35,Investment Plans,12,3,0,Late,Monthly,0.6994043929562642,62,2,0.48
52,Rajesh Pandey,44,Male,Single,Hyderabad,Telangana,Teacher,377091,484145,624,31,Retirement Plans,19,2,3,On-time,Monthly,0.524268814936545,35,7,0.57
53,Sneha Iyer,31,Female,Married,Kolkata,West Bengal,Government Employee,1550225,103539,807,32,Health Insurance,19,2,0,On-time,Monthly,0.9140261784130664,9,8,0.84
54,Suresh Saxena,54,Female,Single,Jaipur,Rajasthan,Software Engineer,1583085,818337,890,45,Health Insurance,2,3,3,On-time,Yearly,0.6700493956546579,36,7,0.72
55,Sneha Sharma,37,Female,Married,Patna,Bihar,Government Employee,1372397,1323310,409,8,Car Insurance,2,5,3,On-time,Yearly,0.7761621101307647,69,7,0.46
56,Dinesh Agarwal,53,Female,Single,Hyderabad,Telangana,Plumber,265613,727714,485,22,Investment Plans,18,2,3,On-time,Lump Sum,0.5881401155171481,25,5,0.46
57,Rohit Agarwal,28,Male,Single,Chennai,Tamil Nadu,Government Employee,1384527,141413,884,29,Health Insurance,13,3,0,Late,Yearly,0.2879776105623995,76,1,0.72
58,Rohit Singh,29,Male,Married,Pune,Maharashtra,Software Engineer,462618,367449,312,3,Car Insurance,12,2,2,Late,Lump Sum,0.1047145589032688,94,6,0.43
59,Suresh Iyer,35,Female,Single,Mumbai,Maharashtra,Businessman,1043178,271698,514,17,Health Insurance,15,0,0,Late,Lump Sum,0.6452732970235993,0,6,0.61
60,Rahul Verma,34,Male,Single,Lucknow,Uttar Pradesh,Mechanic,1276964,182563,647,16,Retirement Plans,4,5,3,Late,Lump Sum,0.3225436100126603,45,4,0.61
61,Priya Malhotra,57,Female,Married,Jaipur,Rajasthan,Plumber,1103516,401316,838,27,Life Insurance,10,5,3,On-time,Yearly,0.819491125192875,11,10,0.72
62,Arun Chopra,30,Male,Married,Delhi,Delhi,Mechanic,279568,424017,335,40,Health Insurance,1,1,3,Late,Lump Sum,0.0525951119358056,91,10,0.46
63,Arun Verma,55,Male,Married,Ahmedabad,Gujarat,Bank Manager,1299021,288837,565,45,Life Insurance,15,3,2,Late,Lump Sum,0.0953255617220184,69,9,0.75
64,Rohit Iyer,42,Female,Married,Mumbai,Maharashtra,Plumber,1162137,1104818,732,3,Car Insurance,6,3,3,On-time,Monthly,0.38810623311319,54,8,0.54
65,Rohit Gupta,29,Female,Single,Ahmedabad,Gujarat,Businessman,1134156,1032526,404,18,Retirement Plans,11,5,0,On-time,Lump Sum,0.229263860614349,97,7,0.52
66,Pankaj Das,39,Male,Married,Kolkata,West Bengal,Lawyer,214349,1355803,609,37,Life Insurance,2,1,3,On-time,Lump Sum,0.8960597392573287,57,9,0.41
67,Manish Joshi,41,Male,Married,Patna,Bihar,Shop Owner,790393,505830,521,31,Life Insurance,18,4,2,Late,Monthly,0.983788381101986,28,5,0.59
68,Rahul Reddy,62,Female,Married,Delhi,Delhi,Mechanic,298465,1313963,894,29,Investment Plans,2,0,3,On-time,Lump Sum,0.1441857190787701,71,5,0.43
69,Rajesh Pandey,40,Male,Single,Indore,Madhya Pradesh,Lawyer,987710,444062,573,21,Car Insurance,14,0,3,On-time,Yearly,0.2549010923438395,28,1,0.55
70,Anjali Iyer,54,Male,Married,Jaipur,Rajasthan,Bank Manager,368274,1221786,668,18,Health Insurance,18,1,2,Late,Monthly,0.4470534173961396,63,10,0.51
71,Pooja Sharma,57,Male,Married,Patna,Bihar,Doctor,271417,1054730,364,3,Retirement Plans,5,5,3,Late,Lump Sum,0.9150653813013728,55,2,0.27
72,Arun Yadav,57,Female,Single,Indore,Madhya Pradesh,Doctor,1408506,1388017,657,10,Investment Plans,12,1,3,On-time,Monthly,0.3692723458155356,55,1,0.51
73,Rohit Chopra,39,Male,Single,Mumbai,Maharashtra,Electrician,220530,212993,397,4,Car Insurance,12,2,3,Late,Yearly,0.8444665782709931,48,3,0.4
74,Suresh Malhotra,38,Male,Single,Pune,Maharashtra,Electrician,636143,1428902,824,30,Retirement Plans,20,4,2,On-time,Monthly,0.3897949035914799,33,1,0.51
75,Divya Joshi,40,Female,Single,Hyderabad,Telangana,Government Employee,375246,265401,625,26,Health Insurance,6,1,2,On-time,Lump Sum,0.6324207006379005,17,6,0.51
76,Dinesh Ghosh,27,Male,Married,Indore,Madhya Pradesh,Businessman,719039,468585,756,15,Health Insurance,6,3,0,On-time,Monthly,0.9751016457010254,2,10,0.59
77,Pankaj Joshi,28,Female,Married,Hyderabad,Telangana,Journalist,1990623,229582,640,42,Health Insurance,10,1,2,Late,Monthly,0.7674111244899506,43,10,0.85
78,Rajesh Patel,43,Female,Married,Jaipur,Rajasthan,Journalist,1070111,827058,775,41,Retirement Plans,2,2,2,On-time,Yearly,0.4171183167713955,16,6,0.6
79,Divya Kumar,46,Female,Married,Chennai,Tamil Nadu,Doctor,1819170,814991,439,22,Investment Plans,10,0,1,Late,Monthly,0.0912405458030692,96,10,0.68
80,Anjali Ghosh,45,Female,Single,Bangalore,Karnataka,Plumber,712661,226926,649,22,Car Insurance,10,5,2,On-time,Monthly,0.0596453590449534,44,1,0.53
81,Rahul Ghosh,32,Male,Single,Bangalore,Karnataka,Mechanic,1442503,1130452,388,37,Investment Plans,3,2,0,Late,Yearly,0.7340187809703335,86,4,0.52
82,Sunita Joshi,39,Female,Married,Indore,Madhya Pradesh,Bank Manager,1750139,1330789,637,13,Investment Plans,18,4,1,On-time,Lump Sum,0.1899368739403214,56,1,0.6
83,Suresh Pandey,65,Female,Single,Ahmedabad,Gujarat,Civil Engineer,1559886,131571,400,21,Car Insurance,18,5,2,On-time,Lump Sum,0.7188657968475036,16,1,0.65
84,Rohit Patel,49,Female,Married,Indore,Madhya Pradesh,Lawyer,1468509,579806,634,49,Retirement Plans,4,4,3,On-time,Lump Sum,0.3320343525926089,8,3,0.65
85,Neha Chopra,59,Male,Married,Lucknow,Uttar Pradesh,Electrician,342449,763977,533,9,Car Insurance,3,5,3,On-time,Yearly,0.6341434688868329,60,10,0.43
86,Manish Singh,43,Female,Married,Pune,Maharashtra,Bank Manager,1864820,1236078,503,33,Life Insurance,10,1,3,Late,Lump Sum,0.844497962976971,19,5,0.63
87,Manish Kumar,59,Female,Married,Jaipur,Rajasthan,Businessman,1945461,1149645,816,19,Life Insurance,9,0,0,Late,Lump Sum,0.3685187190961929,24,9,0.73
88,Meena Joshi,26,Female,Single,Jaipur,Rajasthan,Software Engineer,1196238,1448470,477,42,Life Insurance,14,4,2,Late,Lump Sum,0.5207776172667106,7,7,0.56
89,Meena Sharma,52,Male,Single,Delhi,Delhi,Shop Owner,1440093,477254,358,33,Investment Plans,8,2,3,On-time,Yearly,0.5272511378001052,53,6,0.61
90,Sneha Ghosh,26,Female,Married,Delhi,Delhi,Farmer,1498240,614526,658,46,Life Insurance,9,0,3,Late,Yearly,0.5270224707873145,70,8,0.73
91,Rajesh Das,38,Male,Married,Mumbai,Maharashtra,Government Employee,741019,553102,899,34,Car Insurance,3,0,0,On-time,Yearly,0.7121435759607867,73,3,0.57
92,Anjali Gupta,47,Male,Married,Patna,Bihar,Electrician,1777510,664426,555,20,Retirement Plans,0,0,1,Late,Monthly,0.4022954698150323,0,5,0.61
93,Suresh Sharma,52,Female,Single,Patna,Bihar,Bank Manager,464000,653012,682,46,Car Insurance,17,3,1,On-time,Yearly,0.4007665538051083,50,2,0.55
94,Neha Mehta,35,Female,Married,Pune,Maharashtra,Civil Engineer,1407467,657798,884,27,Health Insurance,20,1,0,On-time,Yearly,0.5320884078673633,14,2,0.72
95,Suman Bose,62,Female,Married,Ahmedabad,Gujarat,Lawyer,816032,946012,584,10,Life Insurance,12,0,3,Late,Lump Sum,0.4084791104251433,22,8,0.52
96,Rohit Saxena,30,Male,Single,Lucknow,Uttar Pradesh,Farmer,1087946,666854,568,41,Life Insurance,0,2,0,On-time,Yearly,0.5879503961630934,28,1,0.51
97,Rohit Sharma,46,Female,Single,Bangalore,Karnataka,Businessman,1720527,1351121,857,24,Car Insurance,11,0,1,Late,Monthly,0.0718185640066793,52,10,0.72
98,Pooja Ghosh,26,Female,Single,Chennai,Tamil Nadu,Lawyer,234688,790671,672,31,Car Insurance,0,1,1,Late,Yearly,0.2339126247664688,87,1,0.38
99,Pankaj Iyer,57,Male,Single,Hyderabad,Telangana,Mechanic,980459,1223742,411,38,Health Insurance,17,5,3,Late,Monthly,0.5887932409979898,70,8,0.56
100,Kavita Saxena,25,Male,Married,Bangalore,Karnataka,Electrician,1786910,1052016,395,8,Investment Plans,20,3,0,Late,Yearly,0.8189810430282215,81,1,0.58
101,Meena Nair,35,Male,Married,Patna,Bihar,Teacher,340199,964851,656,17,Retirement Plans,4,2,0,Late,Yearly,0.9264721576721212,68,7,0.42
102,Pankaj Das,56,Male,Married,Mumbai,Maharashtra,Doctor,1367967,136512,466,38,Car Insurance,3,4,0,Late,Monthly,0.7835058546781993,68,6,0.65
103,Vikram Sharma,26,Female,Single,Kolkata,West Bengal,Lawyer,1291215,1048540,863,3,Car Insurance,11,3,2,Late,Monthly,0.0921045567185826,59,2,0.56
104,Rohit Iyer,64,Female,Married,Chennai,Tamil Nadu,Plumber,1275272,601586,427,6,Investment Plans,14,3,2,On-time,Monthly,0.7327078305747677,45,4,0.55
105,Neha Bose,27,Female,Single,Indore,Madhya Pradesh,Doctor,1817230,1432990,827,36,Health Insurance,20,4,3,Late,Monthly,0.6751382237228538,19,2,0.71
106,Vikram Bose,64,Female,Single,Mumbai,Maharashtra,Shop Owner,1857434,1043047,790,29,Health Insurance,0,3,1,On-time,Monthly,0.4577599308197531,90,4,0.65
107,Arun Gupta,50,Female,Married,Mumbai,Maharashtra,Businessman,364975,599899,441,29,Health Insurance,15,0,2,On-time,Yearly,0.5725011808239264,32,7,0.5
108,Rajesh Sharma,40,Male,Single,Kolkata,West Bengal,Plumber,1201645,1074224,432,36,Life Insurance,8,3,2,On-time,Lump Sum,0.1191641407345366,12,7,0.55
109,Anjali Singh,52,Female,Single,Delhi,Delhi,Businessman,879987,1031371,541,13,Health Insurance,4,0,2,Late,Monthly,0.2596818158741392,71,8,0.48
110,Arun Gupta,63,Male,Married,Delhi,Delhi,Plumber,1091374,673212,470,25,Investment Plans,17,0,3,On-time,Yearly,0.9058962507397912,83,2,0.56
111,Pankaj Joshi,30,Female,Married,Ahmedabad,Gujarat,Government Employee,1415254,945336,821,23,Retirement Plans,6,2,0,Late,Lump Sum,0.8675169006792303,87,2,0.6
112,Arun Patel,35,Male,Single,Indore,Madhya Pradesh,Businessman,1557718,889890,440,40,Health Insurance,3,5,2,Late,Lump Sum,0.7959220563099118,46,7,0.61
113,Anjali Agarwal,40,Male,Single,Pune,Maharashtra,Lawyer,1065801,1487874,303,12,Health Insurance,5,4,0,Late,Monthly,0.6573076449218892,23,8,0.41
114,Sneha Ghosh,33,Male,Single,Kolkata,West Bengal,Civil Engineer,553894,1467798,403,9,Investment Plans,12,2,1,On-time,Yearly,0.7989676546251618,49,6,0.36
115,Rajesh Das,50,Male,Single,Kolkata,West Bengal,Software Engineer,1838311,881986,697,47,Health Insurance,3,2,1,Late,Yearly,0.2681655496694293,93,3,0.68
116,Priya Gupta,50,Female,Married,Delhi,Delhi,Shop Owner,1301427,1110186,811,25,Investment Plans,12,5,1,On-time,Yearly,0.8737559666725259,72,8,0.65
117,Suresh Sharma,28,Female,Single,Chennai,Tamil Nadu,Farmer,1843691,800901,338,18,Investment Plans,9,1,0,On-time,Yearly,0.7596907412328823,71,3,0.58
118,Amit Malhotra,65,Female,Married,Ahmedabad,Gujarat,Businessman,545270,172246,479,35,Life Insurance,2,5,0,On-time,Yearly,0.8382311652853918,80,6,0.51
119,Arun Singh,65,Male,Married,Hyderabad,Telangana,Mechanic,824213,1440604,739,36,Car Insurance,7,5,2,On-time,Yearly,0.5494726299987084,24,10,0.55
120,Manish Pandey,62,Female,Married,Kolkata,West Bengal,Civil Engineer,1259754,1159436,760,27,Investment Plans,8,0,2,On-time,Lump Sum,0.4981114409560266,12,4,0.58
121,Kavita Chopra,30,Male,Single,Bangalore,Karnataka,Journalist,1839397,260679,759,29,Investment Plans,1,2,3,Late,Lump Sum,0.8350214347324293,79,8,0.76
122,Meena Chopra,48,Male,Single,Chennai,Tamil Nadu,Software Engineer,1217436,226640,540,50,Investment Plans,16,2,1,Late,Lump Sum,0.4986213031912629,10,4,0.7
123,Suresh Sharma,23,Male,Single,Delhi,Delhi,Teacher,463885,1264032,736,36,Investment Plans,20,2,0,Late,Lump Sum,0.2978544800847024,46,5,0.53
124,Rahul Malhotra,50,Male,Single,Chennai,Tamil Nadu,Journalist,1754772,1273324,442,45,Retirement Plans,8,1,3,On-time,Lump Sum,0.1849411577507866,2,1,0.57
125,Divya Nair,25,Female,Married,Mumbai,Maharashtra,Nurse,278066,1098059,428,35,Health Insurance,1,1,1,Late,Yearly,0.1265786213200923,20,3,0.33
126,Rahul Kumar,45,Female,Single,Chennai,Tamil Nadu,Businessman,1445353,813082,409,3,Car Insurance,8,1,1,On-time,Yearly,0.7600166988133922,84,10,0.57
127,Dinesh Gupta,57,Male,Single,Ahmedabad,Gujarat,Businessman,606696,1314593,827,32,Investment Plans,18,1,3,Late,Lump Sum,0.9661359032544584,98,6,0.56
128,Anjali Reddy,45,Male,Single,Delhi,Delhi,Journalist,1056171,536874,773,7,Life Insurance,18,4,2,On-time,Yearly,0.8577082610201611,6,9,0.67
129,Pankaj Das,30,Male,Married,Pune,Maharashtra,Software Engineer,267099,816306,628,37,Health Insurance,16,5,3,On-time,Yearly,0.5896838750501452,69,6,0.51
130,Sneha Malhotra,64,Female,Married,Jaipur,Rajasthan,Shop Owner,1341005,751598,503,9,Life Insurance,3,3,3,Late,Lump Sum,0.1805941460603439,47,3,0.5
131,Rohit Bose,42,Female,Married,Pune,Maharashtra,Government Employee,1796074,654312,873,32,Health Insurance,0,2,3,Late,Lump Sum,0.5329838531022093,17,2,0.68
132,Rohit Das,65,Male,Married,Chennai,Tamil Nadu,Journalist,519520,1084704,685,46,Car Insurance,9,2,2,On-time,Yearly,0.0491607653436986,21,7,0.53
133,Arun Reddy,22,Male,Single,Jaipur,Rajasthan,Journalist,1751254,663538,706,26,Life Insurance,18,4,0,On-time,Monthly,0.5697962054751391,40,5,0.75
134,Meena Chopra,38,Female,Single,Mumbai,Maharashtra,Doctor,1484176,1388963,760,35,Life Insurance,8,4,0,Late,Monthly,0.6214476231746773,37,5,0.61
135,Sunita Sharma,62,Female,Married,Hyderabad,Telangana,Nurse,1081073,1129410,379,45,Retirement Plans,7,3,0,Late,Monthly,0.037538581782367,70,4,0.5
136,Dinesh Singh,27,Male,Married,Indore,Madhya Pradesh,Journalist,1079034,792321,862,24,Retirement Plans,17,2,3,On-time,Monthly,0.1062649017684952,72,5,0.66
137,Arun Yadav,26,Male,Single,Indore,Madhya Pradesh,Electrician,578487,1167940,630,38,Health Insurance,3,2,0,Late,Monthly,0.3117684807321391,0,1,0.41
138,Pankaj Das,35,Female,Married,Hyderabad,Telangana,Businessman,1829852,541984,436,40,Health Insurance,5,1,2,On-time,Lump Sum,0.0115645088531872,63,8,0.7
139,Meena Verma,58,Male,Married,Ahmedabad,Gujarat,Bank Manager,970466,754325,657,50,Health Insurance,19,3,1,Late,Lump Sum,0.946690321144132,44,8,0.69
140,Dinesh Gupta,62,Female,Married,Delhi,Delhi,Electrician,635093,626313,440,44,Health Insurance,11,4,2,Late,Monthly,0.9638203193117512,14,6,0.53
141,Dinesh Das,35,Female,Single,Indore,Madhya Pradesh,Journalist,641456,760830,335,27,Life Insurance,12,4,2,On-time,Yearly,0.6187012321061898,85,7,0.48
142,Sneha Yadav,63,Male,Married,Delhi,Delhi,Mechanic,1576642,58362,423,15,Life Insurance,17,4,1,On-time,Yearly,0.5247103054648999,21,10,0.74
143,Anjali Nair,30,Female,Married,Mumbai,Maharashtra,Journalist,1292678,878988,872,49,Investment Plans,14,4,1,Late,Lump Sum,0.4373690396866615,88,6,0.73
144,Rajesh Sharma,64,Male,Married,Bangalore,Karnataka,Electrician,1624733,474189,463,14,Life Insurance,15,4,1,On-time,Lump Sum,0.3099062112665001,55,1,0.61
145,Priya Singh,39,Female,Single,Lucknow,Uttar Pradesh,Journalist,528531,1082882,780,7,Life Insurance,20,2,2,On-time,Monthly,0.9985834021696972,13,10,0.56
146,Rahul Nair,40,Female,Single,Kolkata,West Bengal,Nurse,1779522,968126,805,14,Retirement Plans,12,1,2,Late,Yearly,0.6557651437211767,67,1,0.65
147,Suman Iyer,41,Male,Married,Hyderabad,Telangana,Businessman,1146607,854002,847,21,Life Insurance,6,1,0,On-time,Lump Sum,0.9210075395780856,35,6,0.61
148,Meena Sharma,24,Male,Married,Jaipur,Rajasthan,Shop Owner,694751,1150495,379,22,Retirement Plans,17,3,3,Late,Yearly,0.7164596445946216,25,3,0.43
149,Suman Das,49,Male,Single,Patna,Bihar,Bank Manager,364507,1192322,776,45,Life Insurance,16,5,1,Late,Monthly,0.7840703071364478,75,7,0.55
150,Meena Sharma,35,Male,Married,Patna,Bihar,Software Engineer,711733,1451573,672,22,Life Insurance,10,2,1,Late,Yearly,0.4976877050506225,57,2,0.42
151,Pankaj Chopra,38,Male,Married,Hyderabad,Telangana,Bank Manager,1730372,1293566,727,32,Investment Plans,1,4,2,Late,Monthly,0.6901175095555756,36,8,0.64
152,Suresh Pandey,64,Female,Single,Lucknow,Uttar Pradesh,Bank Manager,438937,559132,816,47,Life Insurance,9,2,2,On-time,Yearly,0.033740131711738,69,7,0.6
153,Suresh Mehta,39,Female,Single,Hyderabad,Telangana,Bank Manager,1663507,898262,882,7,Car Insurance,1,3,1,On-time,Monthly,0.600344065431119,50,8,0.65
154,Priya Nair,61,Female,Single,Ahmedabad,Gujarat,Farmer,1598955,297666,312,9,Investment Plans,3,3,1,On-time,Monthly,0.0578552538358377,92,8,0.59
155,Suresh Ghosh,46,Female,Married,Delhi,Delhi,Lawyer,270876,826337,327,28,Car Insurance,17,2,3,On-time,Lump Sum,0.1364308541956321,76,9,0.46
156,Vikram Chopra,23,Male,Single,Ahmedabad,Gujarat,Bank Manager,288629,450332,456,7,Health Insurance,7,5,1,On-time,Monthly,0.1436479720892369,55,2,0.37
